Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD
"USB1"	,"KH-MICRO-SMT.ZJ-5P"	,"MICRO-USB-SMD_KH-MICRO-SMT.ZJ-5P"	,"37.846mm"	,"-23.877mm"	,"37.846mm"	,"-23.876mm"	,"36.54mm"	,"-22.576mm"	,"9"	,"B"	,"270"	,"No"	,
"U1"	,"LM1085R-3.3"	,"TO-263-3L_L10.0-W9.2-P2.54-TL"	,"-11.209mm"	,"-64.008mm"	,"-11.209mm"	,"-64.008mm"	,"-5.908mm"	,"-66.548mm"	,"4"	,"T"	,"180"	,"Yes"	,
"U3"	,"TB6612FNG(O,C,8,EL"	,"SSOP-24_L8.4-W5.8-P0.65-LS7.8-BL"	,"20.193mm"	,"-46.355mm"	,"20.193mm"	,"-46.355mm"	,"23.768mm"	,"-42.864mm"	,"24"	,"T"	,"180"	,"Yes"	,
"U4"	,"TP5400"	,"ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP"	,"-23.368mm"	,"-23.749mm"	,"-23.368mm"	,"-23.749mm"	,"-20.46mm"	,"-25.654mm"	,"9"	,"T"	,"90"	,"Yes"	,
"R1"	,"AECR1206F1K10K9"	,"R1206"	,"-15.621mm"	,"-23.45mm"	,"-15.621mm"	,"-23.45mm"	,"-15.621mm"	,"-24.929mm"	,"2"	,"T"	,"90"	,"Yes"	,
"D1"	,"SS32_C5122584"	,"SMA_L4.3-W2.6-LS5.1-RD"	,"-23.663mm"	,"-29.718mm"	,"-23.663mm"	,"-29.718mm"	,"-21.463mm"	,"-29.718mm"	,"2"	,"T"	,"180"	,"Yes"	,
"L1"	,"FXL0420-100-M"	,"IND-SMD_L4.4-W4.2"	,"-30.988mm"	,"-29.718mm"	,"-30.988mm"	,"-29.718mm"	,"-28.961mm"	,"-29.718mm"	,"2"	,"T"	,"0"	,"Yes"	,
"C1"	,"1206B104K500NT"	,"C1206"	,"-18.288mm"	,"-27.882mm"	,"-18.288mm"	,"-27.882mm"	,"-18.288mm"	,"-29.474mm"	,"2"	,"T"	,"90"	,"Yes"	,
"C2"	,"1206B104K500NT"	,"C1206"	,"-28.829mm"	,"-21.267mm"	,"-28.829mm"	,"-21.267mm"	,"-28.829mm"	,"-19.675mm"	,"2"	,"T"	,"270"	,"Yes"	,
"C3"	,"CL31B106KOHNNNE"	,"C1206"	,"-24.569mm"	,"-19.431mm"	,"-24.569mm"	,"-19.431mm"	,"-22.977mm"	,"-19.431mm"	,"2"	,"T"	,"180"	,"Yes"	,
"C4"	,"CL31A226KOHNNNE"	,"C1206"	,"-34.163mm"	,"-21.267mm"	,"-34.163mm"	,"-21.267mm"	,"-34.163mm"	,"-19.675mm"	,"2"	,"T"	,"270"	,"Yes"	,
"C5"	,"CL31A226KOHNNNE"	,"C1206"	,"-31.496mm"	,"-21.267mm"	,"-31.496mm"	,"-21.267mm"	,"-31.496mm"	,"-19.675mm"	,"2"	,"T"	,"270"	,"Yes"	,
"R2"	,"1206W4J0102T5E"	,"R1206"	,"-24.72mm"	,"-15.621mm"	,"-24.72mm"	,"-15.621mm"	,"-23.241mm"	,"-15.621mm"	,"2"	,"T"	,"180"	,"Yes"	,
"LED1"	,"NCD0805R1"	,"LED0805-RD_RED"	,"-13.325mm"	,"-16.56mm"	,"-13.325mm"	,"-16.56mm"	,"-13.325mm"	,"-17.66mm"	,"2"	,"T"	,"90"	,"Yes"	,
"LED2"	,"NCD0805G1"	,"LED0805-R-RD"	,"-15.748mm"	,"-16.603mm"	,"-15.748mm"	,"-16.603mm"	,"-15.748mm"	,"-15.552mm"	,"2"	,"T"	,"90"	,"Yes"	,
"C7"	,"CL31A226KOHNNNE"	,"C1206"	,"-7.308mm"	,"-71.501mm"	,"-7.308mm"	,"-71.501mm"	,"-5.715mm"	,"-71.501mm"	,"2"	,"T"	,"180"	,"Yes"	,
"U7"	,"MAX1771ESA+T"	,"SO-8_L4.9-W3.9-P1.27-LS6.0-BL"	,"-24.384mm"	,"-43.853mm"	,"-24.384mm"	,"-43.853mm"	,"-26.289mm"	,"-46.304mm"	,"8"	,"T"	,"0"	,"Yes"	,
"Q1"	,"SI9410BDY-T1"	,"SO-8_L4.9-W3.9-P1.27-LS5.9-BL"	,"-15.113mm"	,"-39.243mm"	,"-15.113mm"	,"-39.243mm"	,"-17.813mm"	,"-37.338mm"	,"8"	,"T"	,"270"	,"Yes"	,
"D2"	,"1N5819WS_C191023"	,"SOD-323_L1.8-W1.3-LS2.5-RD"	,"-10.414mm"	,"-42.642mm"	,"-10.414mm"	,"-42.642mm"	,"-10.414mm"	,"-43.815mm"	,"2"	,"T"	,"90"	,"Yes"	,
"L2"	,"SWPA6045S220MT"	,"IND-SMD_L6.0-W6.0_SWPA6045S"	,"-5.143mm"	,"-37.338mm"	,"-5.143mm"	,"-37.338mm"	,"-7.746mm"	,"-37.338mm"	,"2"	,"T"	,"0"	,"Yes"	,
"R3"	,"1206W3F200MT5E"	,"R1206"	,"-22.434mm"	,"-37.592mm"	,"-22.434mm"	,"-37.592mm"	,"-20.955mm"	,"-37.592mm"	,"2"	,"T"	,"180"	,"Yes"	,
"C8"	,"1206B104K500NT"	,"C1206"	,"-20.066mm"	,"-44.635mm"	,"-20.066mm"	,"-44.635mm"	,"-20.066mm"	,"-46.228mm"	,"2"	,"T"	,"90"	,"Yes"	,
"C9"	,"1206B104K500NT"	,"C1206"	,"-25.019mm"	,"-50.742mm"	,"-25.019mm"	,"-50.742mm"	,"-25.019mm"	,"-52.334mm"	,"2"	,"T"	,"90"	,"Yes"	,
"U8"	,"S2B-PH-K-S(LF)(SN)"	,"CONN-TH_S2B-PH-K-S-LF-SN"	,"36.703mm"	,"-45.466mm"	,"36.703mm"	,"-45.466mm"	,"36.703mm"	,"-46.466mm"	,"2"	,"T"	,"270"	,"No"	,
"U9"	,"S2B-PH-K-S(LF)(SN)"	,"CONN-TH_S2B-PH-K-S-LF-SN"	,"36.703mm"	,"-35.306mm"	,"36.703mm"	,"-35.306mm"	,"36.703mm"	,"-36.306mm"	,"2"	,"T"	,"270"	,"No"	,
"C6"	,"CL31A226KOHNNNE"	,"C1206"	,"10.16mm"	,"-72.459mm"	,"10.16mm"	,"-72.459mm"	,"10.16mm"	,"-74.051mm"	,"2"	,"B"	,"90"	,"Yes"	,
"U6"	,"MY-18650-02"	,"BAT-SMD_MY-18650-02"	,"-47.244mm"	,"-73.152mm"	,"-47.244mm"	,"-73.152mm"	,"-47.244mm"	,"-81.652mm"	,"2"	,"T"	,"90"	,"Yes"	,
"U5"	,"MY-18650-02"	,"BAT-SMD_MY-18650-02"	,"-47.244mm"	,"-15.113mm"	,"-47.244mm"	,"-15.113mm"	,"-47.244mm"	,"-6.613mm"	,"2"	,"T"	,"270"	,"Yes"	,
"H1"	,"PZ254V-11-12P"	,"HDR-TH_12P-P2.54-V-M"	,"27.051mm"	,"-74.041mm"	,"27.051mm"	,"-74.041mm"	,"41.021mm"	,"-74.041mm"	,"12"	,"B"	,"180"	,"No"	,
"D3"	,"P6SMB6.8CA/TR13"	,"SMB_L4.6-W3.6-LS5.3-BI"	,"-13.589mm"	,"-30.15mm"	,"-13.589mm"	,"-30.15mm"	,"-13.589mm"	,"-32.742mm"	,"2"	,"T"	,"90"	,"Yes"	,
"C15"	,"RT1V470M0605"	,"CAP-SMD_BD6.3-L6.6-W6.6-FD"	,"-5.337mm"	,"-20.574mm"	,"-5.337mm"	,"-20.574mm"	,"-8.007mm"	,"-20.574mm"	,"2"	,"T"	,"0"	,"Yes"	,
"C10"	,"RT1V470M0605"	,"CAP-SMD_BD6.3-L6.6-W6.6-FD"	,"-5.21mm"	,"-28.321mm"	,"-5.21mm"	,"-28.321mm"	,"-7.88mm"	,"-28.321mm"	,"2"	,"T"	,"0"	,"Yes"	,
"C16"	,"VT1E100M0405"	,"CAP-SMD_BD4.0-L4.3-W4.3-FD"	,"-7.366mm"	,"-52.011mm"	,"-7.366mm"	,"-52.011mm"	,"-7.366mm"	,"-50.351mm"	,"2"	,"T"	,"270"	,"Yes"	,
